1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Data_Time
이재명,체포동의안,속보,국회,대통령,단독,대표,재가,尹대통령,노조,2023-02-21 09:05:08.470606
이재명,체포동의안,재가,대통령,국회,대표,송부,단독,체포동의요구서,노조,2023-02-21 09:10:06.067626
이재명,체포동의안,재가,국회,대통령,대표,송부,단독,체포동의요구서,바이든,2023-02-21 09:15:05.302069
이재명,체포동의안,재가,국회,대표,대통령,송부,체포동의요구서,단독,바이든,2023-02-21 09:20:05.138847
이재명,체포동의안,재가,국회,대표,대통령,송부,체포동의요구서,단독,노조,2023-02-21 09:25:05.788659
이재명,체포동의안,재가,국회,대통령,대표,송부,단독,체포동의요구서,尹대통령,2023-02-21 09:30:05.173651
이재명,체포동의안,재가,국회,대통령,대표,송부,체포동의요구서,단독,노조,2023-02-21 09:35:05.112053
이재명,체포동의안,재가,국회,대통령,대표,송부,단독,체포동의요구서,尹대통령,2023-02-21 09:40:06.118899
이재명,체포동의안,재가,대통령,국회,대표,송부,체포동의요구서,단독,노조,2023-02-21 09:45:05.973301
이재명,체포동의안,재가,국회,대통령,대표,송부,체포동의요구서,단독,노조,2023-02-21 09:50:05.599389
이재명,체포동의안,재가,국회,대표,대통령,송부,단독,체포동의요구서,노조,2023-02-21 09:55:05.299610
이재명,체포동의안,재가,국회,대표,대통령,송부,단독,체포동의요구서,노조,2023-02-21 10:00:07.757629
이재명,체포동의안,재가,국회,대통령,대표,송부,단독,체포동의요구서,노조,2023-02-21 10:05:06.453863
이재명,체포동의안,재가,대표,국회,대통령,속보,송부,체포동의요구서,尹대통령,2023-02-21 10:10:05.876833
이재명,체포동의안,재가,대표,대통령,국회,속보,체포동의요구서,송부,단독,2023-02-21 10:15:05.274353
이재명,체포동의안,재가,대표,대통령,국회,속보,체포동의요구서,송부,단독,2023-02-21 10:20:05.412276
이재명,체포동의안,재가,대표,국회,대통령,속보,송부,체포동의요구서,尹대통령,2023-02-21 10:25:05.804433
이재명,체포동의안,재가,대표,국회,대통령,체포동의요구서,송부,속보,단독,2023-02-21 10:30:05.634408
이재명,체포동의안,재가,대통령,대표,국회,속보,송부,체포동의요구서,尹대통령,2023-02-21 10:35:05.452237
이재명,체포동의안,재가,대통령,대표,국회,속보,송부,체포동의요구서,단독,2023-02-21 10:40:05.570446
